Category,Subcategory,Skill,,Level,,,,,,, 
,,,,,,3,,,,,300570
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,TESTING,TEST,1,,,,,,,300585
,,,,,2,,,,,,300104
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,300570
,,,,,,,,,6,,   
,USER EXPERIENCE,USER EXPERIENCE ANALYSIS,UNAN,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,300570
,,USER EXPERIENCE DESIGN,HCEV,,2,,,,,,300566
,,,,,,3,,,,,300585
,,,,,,,4,,,,     
,,,,,,,,5,,,300570
,,USER EXPERIENCE EVALUATION,USEV,,2,,,,,,300566
,,,,,,3,,,,,300585
,,,,,,,4,,,,     
,,,,,,,,5,,,300570
,INSTALLATION AND INTEGRATION,SYSTEMS INTEGRATION,SINT,,2,,,,,,300585
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,PORTING/SOFTWARE INTEGRATION,PORT,,,3,,,,,300585
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,HARDWARE DESIGN,HWDE,,,,4,,,,300570
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,SYSTEMS INSTALLATION/DECOMMISSIONING,HSIN,1,,,,,,,300566 300585    
,,,,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
DELIVERY AND OPERATION,SERVICE DESIGN,AVAILABILITY MANAGEMENT,AVMT,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,SERVICE LEVEL MANAGEMENT,SLMO,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,,,,,,,,,7,     
,SERVICE TRANSITION,SERVICE ACCEPTANCE,SEAC,,,,4,,,,     
,,,,,,,,5,,,300570
,,,,,,,,,6,,     
,,CONFIGURATION MANAGEMENT,CFMG,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,ASSET MANAGEMENT,ASMG,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,CHANGE MANAGEMENT,CHMG,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,RELEASE AND DEPLOYMENT,RELM,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,SERVICE OPERATION,SYSTEM SOFTWARE,SYSP,,,3,,,,,300570
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,CAPACITY MANAGEMENT,CPMG,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,SECURITY ADMINISTRATION,SCAD,1,,,,,,,     
,,,,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,PENETRATION TESTING,PENT,,,,4,,,,300570
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,RADIO FREQUENCY ENGINEERING,RFEN,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,APPLICATIONS SUPPORT,ASUP,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,IT INFRASTRUCTURE,ITOP,1,,,,,,,     
,,,,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,DATABASE ADMINISTRATION,DBAD,,2,,,,,,300585
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,STORAGE MANAGEMENT,STMG,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,NETWORK SUPPORT,NTAS,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,PROBLEM MANAGEMENT,PBMG,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,INCIDENT MANAGEMENT,USUP,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,FACILITIES MANAGEMENT,DCMA,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
SKILLS AND QUALITY,SKILLS MANAGEMENT,LEARNING AND DEVELOPMENT MANAGEMENT,ETMG,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,,,,,,,,,7,     
,,LEARNING ASSESSMENT AND EVALUATION,LEDA,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,LEARNING DESIGN AND DEVELOPMENT,TMCR,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,LEARNING DELIVERY,ETDL,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,TEACHING AND SUBJECT FORMATION,TEAC,,,,,5,,,300570
,,,,,,,,,6,,
,PEOPLE MANAGEMENT,PERFORMANCE MANAGEMENT,PEMT,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,RESOURCING,RESC,,,,4,,,,300585
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,PROFESSIONAL DEVELOPMENT,PDSV,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,QUALITY AND CONFORMANCE,QUALITY MANAGEMENT,QUMG,,,,4,,,,     
,,,,,,,,5,,,300570
,,,,,,,,,6,,     
,,,,,,,,,,7,     
,,QUALITY ASSURANCE,QUAS,,,3,,,,,300585
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,QUALITY STANDARDS,QUST,,2,,,,,,300566
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,CONFORMANCE REVIEW,CORE,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,SAFETY ASSESSMENT,SFAS,,,,,5,,,     
,,,,,,,,,6,,     
,,DIGITAL FORENSICS,DGFS,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
RELATIONSHIPS AND ENGAGEMENT,STAKEHOLDER MANAGEMENT,SOURCING,SORC,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,CONTRACT MANAGEMENT,ITCM,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,STAKEHOLDER RELATIONSHIP MANAGEMENT,RLMT,,,,4,,,,300566
STRATEGY AND ARCHITECTURE,INFORMATION STRATEGY,IT GOVERNANCE,GOVN,,,,,5,,,301124*       
,,,,,,,,,6,,   
,,,,,,,,,,7,     
,,IT STRATEGY AND PLANNING,ITSP,,,,,5,,,301124*  
,,,,,,,,,6,,
,,,,,,,,,,7,     
,,INFORMATION MANAGEMENT,IRMG,,,,4,,,,     
,,,,,,,,5,,,300958*  301124*     
,,,,,,,,,6,,   
,,,,,,,,,,7,     
,,INFORMATION SYSTEMS CO-ORDINATION,ISCO,,,,,,6,,301124*     
,,,,,,,,,,7,     
,,INFORMATION SECURITY,SCTY,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,   300143* 301124*      
,,,,,,,,,6,,     
,,,,,,,,,,7,
,,INFORMATION ASSURANCE,INAS,,,,,5,,,  300143* 301124*    
,,,,,,,,,6,,   
,,,,,,,,,,7,     
,,INFORMATION ANALYSIS,INAN,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,301124*     
,,,,,,,,,,7,     
,,INFORMATION CONTENT PUBLISHING,ICPM,1,,,,,,,     
,,,,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,ADVICE AND GUIDANCE,CONSULTANCY,CNSL,,,,,5,,,300143*     
,,,,,,,,,6,,301124*     
,,TECHNICAL SPECIALISM,TECH,,,,4,,,,300128*     
,,,,,,,,5,,,300095* 300143* 300404* 300698*  301124*   
,,,,,,,,,6,,  
,BUSINESS STRATEGY AND PLANNING,RESEARCH,RSCH,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,300128*     
,,,,,,,,5,,,301124*  
,,,,,,,,,6,,   
,,IT MANAGEMENT,ITMG,,,,,5,,,301124*  
,,,,,,,,,6,,
,,FINANCIAL MANAGEMENT,FMIT,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,INNOVATION,INOV,,,,,5,,,     
,,,,,,,,,6,,     
,,BUSINESS PROCESS IMPROVEMENT,BPRE,,,,,5,,,     
,,,,,,,,,6,,     
,,,,,,,,,,7,     
,,ENTERPRISE AND BUSINESS ARCHITECTURE DEVELOPMENT,STPL,,,,,5,,,301124*       
,,,,,,,,,6,,
,,,,,,,,,,7,     
,,BUSINESS RISK MANAGEMENT,BURM,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,,,,,,,,,7,     
,,SUSTAINABILITY STRATEGY,SUST,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,TECHNICAL STRATEGY AND PLANNING,EMERGING TECHNOLOGY MONITORING,EMRG,,,,4,,,,300143* 300698*    
,,,,,,,,5,,,301124*  
,,,,,,,,,6,,    
,,CONTINUITY MANAGEMENT,COPL,,,,4,,,,     
,,,,,,,,5,,,     
,,SUSTAINABILITY MANAGEMENT FOR IT,SUMI,,,,,5,,,     
,,,,,,,,,6,,     
,,NETWORK PLANNING,NTPL,,,,,5,,,300095*  301124*     
,,,,,,,,,6,,3
,,SOLUTION ARCHITECTURE,ARCH,,,,,5,,,300128* 300143* 300698*   
,,,,,,,,,6,,     
,,DATA MANAGEMENT,DATM,,2,,,,,,300095* 300143*    
,,,,,,3,,,,,     
,,,,,,,4,,,,300128*     
,,,,,,,,5,,,301124* 300698*    
,,,,,,,,,6,,     
,,METHODS AND TOOLS,METL,,,,4,,,,300095* 300404* 300799*   
,,,,,,,,5,,,300128* 300143* 300698*  301124*  
,,,,,,,,,6,,
CHANGE AND TRANSFORMATION,BUSINESS CHANGE IMPLEMENTATION,PORTFOLIO MANAGEMENT,POMG,,,,,5,,,     
,,,,,,,,,6,,     
,,,,,,,,,,7,     
,,PROGRAMME MANAGEMENT,PGMG,,,,,,6,,     
,,,,,,,,,,7,     
,,PROJECT MANAGEMENT,PRMG,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,"PORTFOLIO, PROGRAMME AND PROJECT SUPPORT",PROF,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,BUSINESS CHANGE MANAGEMENT,BUSINESS ANALYSIS,BUAN,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,REQUIREMENTS DEFINITION AND MANAGEMENT,REQM,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,300698*     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,BUSINESS PROCESS TESTING,BPTS,,,,4,,,,     
,,,,,,,,5,,,     
,,CHANGE IMPLEMENTATION PLANNING AND MANAGEMENT,CIPM,,,,,5,,,     
,,,,,,,,,6,,     
,,ORGANISATION DESIGN AND IMPLEMENTATION,ORDI,,,,,5,,,     
,,,,,,,,,6,,     
,,BENEFITS MANAGEMENT,BENM,,,,,5,,,     
,,,,,,,,,6,,     
,,BUSINESS MODELLING,BSMO,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,SUSTAINABILITY ASSESSMENT,SUAS,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
 DEVELOPMENT AND IMPLEMENTATION,SYSTEMS DEVELOPMENT,SYSTEMS DEVELOPMENT MANAGEMENT,DLMG,,,,,5,,,     
,,,,,,,,,6,,     
,,,,,,,,,,7,     
,,DATA ANALYSIS,DTAN,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,SYSTEMS DESIGN,DESN,,2,,,,,,     
,,,,,,3,,,,,300404*     
,,,,,,,4,,,,300698*     
,,,,,,,,5,,,300799*     
,,,,,,,,,6,,     
,,NETWORK DESIGN,NTDS,,,,,5,,,300095*  301124*     
,,,,,,,,,6,,
,,DATABASE/REPOSITORY DESIGN,DBDS,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,PROGRAMMING/SOFTWARE DEVELOPMENT,PROG,,2,,,,,,300095*     
,,,,,,3,,,,,300130* 300165* 300167*   
,,,,,,,4,,,,300096* 300404*    
,,,,,,,,5,,,301124* 300698*    
,,ANIMATION DEVELOPMENT,ADEV,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,SAFETY ENGINEERING,SFEN,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,SUSTAINABILITY ENGINEERING,SUEN,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,INFORMATION CONTENT AUTHORING,INCA,1,,,,,,,     
,,,,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,TESTING,TEST,1,,,,,,,     
,,,,,2,,,,,,300095*     
,,,,,,3,,,,,300404*     
,,,,,,,4,,,,     
,,,,,,,,5,,,300698*     
,,,,,,,,,6,,     
,USER EXPERIENCE,USER EXPERIENCE ANALYSIS,UNAN,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,USER EXPERIENCE DESIGN,HCEV,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,USER EXPERIENCE EVALUATION,USEV,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,INSTALLATION AND INTEGRATION,SYSTEMS INTEGRATION,SINT,,2,,,,,,300799*     
,,,,,,3,,,,,300165*     
,,,,,,,4,,,,     
,,,,,,,,5,,,300698*     
,,,,,,,,,6,,     
,,PORTING/SOFTWARE INTEGRATION,PORT,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,HARDWARE DESIGN,HWDE,,,,4,,,,300096*     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,SYSTEMS INSTALLATION/DECOMMISSIONING,HSIN,1,,,,,,,     
,,,,,2,,,,,,     
,,,,,,3,,,,,300095* 300165*    
,,,,,,,4,,,,     
,,,,,,,,5,,,301124*     
DELIVERY AND OPERATION,SERVICE DESIGN,AVAILABILITY MANAGEMENT,AVMT,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,SERVICE LEVEL MANAGEMENT,SLMO,,2,,,,,,     
,,,,,,3,,,,,300165*     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,,,,,,,,,7,     
,SERVICE TRANSITION,SERVICE ACCEPTANCE,SEAC,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,CONFIGURATION MANAGEMENT,CFMG,,2,,,,,,     
,,,,,,3,,,,,300165*     
,,,,,,,4,,,,     
,,,,,,,,5,,,301124*       
,,,,,,,,,6,,     
,,ASSET MANAGEMENT,ASMG,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,CHANGE MANAGEMENT,CHMG,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,RELEASE AND DEPLOYMENT,RELM,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,SERVICE OPERATION,SYSTEM SOFTWARE,SYSP,,,3,,,,,300165*     
,,,,,,,4,,,,300096* 300404*    
,,,,,,,,5,,,301124*     
,,CAPACITY MANAGEMENT,CPMG,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,SECURITY ADMINISTRATION,SCAD,1,,,,,,,     
,,,,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,300143* 301124*      
,,,,,,,,,6,,
,,PENETRATION TESTING,PENT,,,,4,,,,     
,,,,,,,,5,,,301124*  
,,,,,,,,,6,,
,,RADIO FREQUENCY ENGINEERING,RFEN,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,APPLICATIONS SUPPORT,ASUP,,2,,,,,,     
,,,,,,3,,,,,300165*     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,IT INFRASTRUCTURE,ITOP,1,,,,,,,     
,,,,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,300698*     
,,DATABASE ADMINISTRATION,DBAD,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,STORAGE MANAGEMENT,STMG,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,NETWORK SUPPORT,NTAS,,2,,,,,,     
,,,,,,3,,,,,300095*     
,,,,,,,4,,,,     
,,,,,,,,5,,,301124*     
,,PROBLEM MANAGEMENT,PBMG,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,INCIDENT MANAGEMENT,USUP,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,FACILITIES MANAGEMENT,DCMA,,,3,,,,,300165*     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
SKILLS AND QUALITY,SKILLS MANAGEMENT,LEARNING AND DEVELOPMENT MANAGEMENT,ETMG,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,,,,,,,,,7,     
,,LEARNING ASSESSMENT AND EVALUATION,LEDA,,,3,,,,,300404*     
,,,,,,,4,,,,300799*     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,LEARNING DESIGN AND DEVELOPMENT,TMCR,,,,4,,,,     
,,,,,,,,5,,,300128*     
,,,,,,,,,6,,     
,,LEARNING DELIVERY,ETDL,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,TEACHING AND SUBJECT FORMATION,TEAC,,,,,5,,,     
,,,,,,,,,6,,     
,PEOPLE MANAGEMENT,PERFORMANCE MANAGEMENT,PEMT,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,RESOURCING,RESC,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,PROFESSIONAL DEVELOPMENT,PDSV,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,QUALITY AND CONFORMANCE,QUALITY MANAGEMENT,QUMG,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,,,,,,,,,7,     
,,QUALITY ASSURANCE,QUAS,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,QUALITY STANDARDS,QUST,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,CONFORMANCE REVIEW,CORE,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,SAFETY ASSESSMENT,SFAS,,,,,5,,,     
,,,,,,,,,6,,     
,,DIGITAL FORENSICS,DGFS,,,,4,,,,     
,,,,,,,,5,,,301124*     
STRATEGY AND ARCHITECTURE,INFORMATION STRATEGY,IT GOVERNANCE,GOVN,,,,,5,,,"300572*, 300584*, 300585"
,,,,,,,,,6,,300569
,,,,,,,,,,7,
,,IT STRATEGY AND PLANNING,ITSP,,,,,5,,,"300570, 300572*, 300578*, 300960*"
,,,,,,,,,6,,300961*
,,,,,,,,,,7,
,,INFORMATION MANAGEMENT,IRMG,,,,4,,,,"300570, 300578*, 300579*, 300580"
,,,,,,,,5,,,300569
,,,,,,,,,6,,
,,,,,,,,,,7,
,,INFORMATION SYSTEMS CO-ORDINATION,ISCO,,,,,,6,,"300584*, 300585"
,,,,,,,,,,7,
,,INFORMATION SECURITY,SCTY,,,3,,,,,"300580, 300585"
,,,,,,,4,,,,300579*
,,,,,,,,5,,,300569
,,,,,,,,,6,,300582*
,,,,,,,,,,7,
,,INFORMATION ASSURANCE,INAS,,,,,5,,,
,,,,,,,,,6,,
,,,,,,,,,,7,
,,INFORMATION ANALYSIS,INAN,,,3,,,,,"200032, 300572*, 300573, 300580"
,,,,,,,4,,,,300570
,,,,,,,,5,,,"300569, 300579*, 300960*"
,,,,,,,,,6,,300585
,,,,,,,,,,7,
,,INFORMATION CONTENT PUBLISHING,ICPM,1,,,,,,,"300573, 300580"
,,,,,2,,,,,,
,,,,,,3,,,,,300572*
,,,,,,,4,,,,300570
,,,,,,,,5,,,"300579*, 300582*, 300584*"
,,,,,,,,,6,,
,ADVICE AND GUIDANCE,CONSULTANCY,CNSL,,,,,5,,,"300578*, 300961*"
,,,,,,,,,6,,
,,TECHNICAL SPECIALISM,TECH,,,,4,,,,"300565, 300578*, 300579*, 300580"
,,,,,,,,5,,,"300960*, 300582*"
,,,,,,,,,6,,
,BUSINESS STRATEGY AND PLANNING,RESEARCH,RSCH,,2,,,,,,"300573, 300579*, 300580"
,,,,,,3,,,,,300572*
,,,,,,,4,,,,"300584*, 300960*, 300961*"
,,,,,,,,5,,,300570
,,,,,,,,,6,,
,,IT MANAGEMENT,ITMG,,,,,5,,,"300578*, 300579*"
,,,,,,,,,6,,
,,FINANCIAL MANAGEMENT,FMIT,,,,4,,,,
,,,,,,,,5,,,
,,,,,,,,,6,,
,,INNOVATION,INOV,,,,,5,,,"300584*, 300960*, 300570, 300902*"
,,,,,,,,,6,,
,,BUSINESS PROCESS IMPROVEMENT,BPRE,,,,,5,,,300572*
,,,,,,,,,6,,"300578*, 300584*, 300961*"
,,,,,,,,,,7,
,,ENTERPRISE AND BUSINESS ARCHITECTURE DEVELOPMENT,STPL,,,,,5,,,"300578*, 300584*"
,,,,,,,,,6,,
,,,,,,,,,,7,
,,BUSINESS RISK MANAGEMENT,BURM,,,,4,,,,"300572*, 300578*"
,,,,,,,,5,,,
,,,,,,,,,6,,
,,,,,,,,,,7,
,,SUSTAINABILITY STRATEGY,SUST,,,,4,,,,
,,,,,,,,5,,,
,,,,,,,,,6,,
,TECHNICAL STRATEGY AND PLANNING,EMERGING TECHNOLOGY MONITORING,EMRG,,,,4,,,,"300579*, 300585"
,,,,,,,,5,,,"300584*, 300570, 300960*"
,,,,,,,,,6,,
,,CONTINUITY MANAGEMENT,COPL,,,,4,,,,
,,,,,,,,5,,,
,,SUSTAINABILITY MANAGEMENT FOR IT,SUMI,,,,,5,,,300578*
,,,,,,,,,6,,
,,NETWORK PLANNING,NTPL,,,,,5,,,
,,,,,,,,,6,,
,,SOLUTION ARCHITECTURE,ARCH,,,,,5,,,300578*
,,,,,,,,,6,,
,,DATA MANAGEMENT,DATM,,2,,,,,,"300570, 300580"
,,,,,,3,,,,,300585
,,,,,,,4,,,,"300569, 300960*"
,,,,,,,,5,,,"300579*, 300104"
,,,,,,,,,6,,
,,METHODS AND TOOLS,METL,,,,4,,,,300585
,,,,,,,,5,,,"300570, 300578*, 300579*, 300960*, 300104"
,,,,,,,,,6,,
CHANGE AND TRANSFORMATION,BUSINESS CHANGE IMPLEMENTATION,PORTFOLIO MANAGEMENT,POMG,,,,,5,,,300572*
,,,,,,,,,6,,
,,,,,,,,,,7,
,,PROGRAMME MANAGEMENT,PGMG,,,,,,6,,
,,,,,,,,,,7,
,,PROJECT MANAGEMENT,PRMG,,,,4,,,,"300572*, 300578*, 300579*"
,,,,,,,,5,,,
,,,,,,,,,6,,
,,"PORTFOLIO, PROGRAMME AND PROJECT SUPPORT",PROF,,2,,,,,,300579*
,,,,,,3,,,,,
,,,,,,,4,,,,
,,,,,,,,5,,,
,,,,,,,,,6,,
,BUSINESS CHANGE MANAGEMENT,BUSINESS ANALYSIS,BUAN,,,3,,,,,"300573, 300580"
,,,,,,,4,,,,"300578*, 300579*, 300584*, 300585"
,,,,,,,,5,,,
,,,,,,,,,6,,
,,REQUIREMENTS DEFINITION AND MANAGEMENT,REQM,,2,,,,,,
,,,,,,3,,,,,"300572*, 300578*, 300580"
,,,,,,,4,,,,300585
,,,,,,,,5,,,300579*
,,,,,,,,,6,,
,,BUSINESS PROCESS TESTING,BPTS,,,,4,,,,
,,,,,,,,5,,,
,,CHANGE IMPLEMENTATION PLANNING AND MANAGEMENT,CIPM,,,,,5,,,"300572*, 300578*"
,,,,,,,,,6,,
,,ORGANISATION DESIGN AND IMPLEMENTATION,ORDI,,,,,5,,,"300578*, 300584*, 300961*, 300584*"
,,,,,,,,,6,,
,,BENEFITS MANAGEMENT,BENM,,,,,5,,,300584*
,,,,,,,,,6,,
,,BUSINESS MODELLING,BSMO,,2,,,,,,300579*
,,,,,,3,,,,,"300572*, 300578*, 300580"
,,,,,,,4,,,,"300585, 300961*"
,,,,,,,,5,,,
,,,,,,,,,6,,
,,SUSTAINABILITY ASSESSMENT,SUAS,,,,4,,,,
,,,,,,,,5,,,
,,,,,,,,,6,,
 DEVELOPMENT AND IMPLEMENTATION,SYSTEMS DEVELOPMENT,SYSTEMS DEVELOPMENT MANAGEMENT,DLMG,,,,,5,,,"300570, 300578*, 300579*, 300585"
,,,,,,,,,6,,
,,,,,,,,,,7,
,,DATA ANALYSIS,DTAN,,2,,,,,,"200032, 300570, 300579*"
,,,,,,3,,,,,300580
,,,,,,,4,,,,
,,,,,,,,5,,,
,,SYSTEMS DESIGN,DESN,,2,,,,,,300585
,,,,,,3,,,,,
,,,,,,,4,,,,300580
,,,,,,,,5,,,"300570, 300579*, 300582*"
,,,,,,,,,6,,
,,NETWORK DESIGN,NTDS,,,,,5,,,300579*
,,,,,,,,,6,,
,,DATABASE/REPOSITORY DESIGN,DBDS,,2,,,,,,
,,,,,,3,,,,,
,,,,,,,4,,,,300585
,,,,,,,,5,,,"300579*, 300104, 300582*"
,,,,,,,,,6,,
,,PROGRAMMING/SOFTWARE DEVELOPMENT,PROG,,2,,,,,,"300104, 300565"
,,,,,,3,,,,,
,,,,,,,4,,,,"300580, 300960*"
,,,,,,,,5,,,"300579*, 300582*"
,,ANIMATION DEVELOPMENT,ADEV,,,3,,,,,300579*
,,,,,,,4,,,,300570
,,,,,,,,5,,,
,,,,,,,,,6,,
,,SAFETY ENGINEERING,SFEN,,,3,,,,,
,,,,,,,4,,,,
,,,,,,,,5,,,
,,,,,,,,,6,,
,,SUSTAINABILITY ENGINEERING,SUEN,,,,4,,,,
,,,,,,,,5,,,
,,,,,,,,,6,,
,,INFORMATION CONTENT AUTHORING,INCA,1,,,,,,,
,,,,,2,,,,,,300580
,,,,,,3,,,,,"300570, 300579*"
,,,,,,,4,,,,
,,,,,,,,5,,,300582*
,,,,,,,,,6,,
,,TESTING,TEST,1,,,,,,,"300565, 300585"
,,,,,2,,,,,,"300104, 300580"
